source	target	weight
2	1	1
3	1	2
3	2	9
17	1	2
2	8	20
2	10	13
2	13	24
14	2	1
2	16	2
2	5	2
2	6	3
17	2	2
2	18	3
7	2	1
3	5	8
3	4	2
3	10	17
3	9	1
3	8	15
3	13	10
14	3	1
3	16	3
3	18	3
3	17	5
4	5	3
6	4	1
6	5	2
7	6	1
7	4	1
7	5	1
7	8	3
11	6	5
10	9	2
8	5	11
11	12	1
6	12	2
7	11	1
8	10	29
13	10	17
8	13	23
14	13	2
14	10	1
14	8	1
11	15	3
6	15	2
13	16	4
8	16	2
16	10	2
13	5	2
17	13	3
17	18	5
13	18	5
18	5	3
8	18	3
6	10	4
5	19	2
20	5	1
17	5	2
21	5	1
13	19	1
20	19	1
8	19	1
18	19	1
17	19	1
21	19	1
20	13	1
21	13	1
20	8	1
20	18	1
20	17	1
20	21	1
17	8	1
21	8	1
21	18	2
21	17	2
7	13	2
23	11	1
24	5	3
25	19	1
13	6	3
8	6	2
25	26	2
26	22	1
26	5	2
24	26	2
25	22	1
25	5	2
24	25	2
5	22	1
24	22	1
18	10	1
0	10	1
