rent_station	return_station	num_trips
207	207	664
502	502	600
186	186	493
565	565	492
152	152	490
2102	2102	439
1827	1827	423
3515	3515	371
593	502	334
3511	3511	327
589	509	322
583	583	316
907	907	301
648	646	300
2102	2183	298
585	589	287
502	593	287
2177	2177	274
780	780	273
2183	2102	267
2262	2262	265
2183	2183	256
2622	2622	254
548	502	232
567	563	224
509	589	223
2219	2219	217
1210	1211	217
439	439	214
249	249	209
2621	2621	206
272	272	206
668	646	205
646	602	201
117	117	198
589	585	197
1209	1209	196
646	648	194
1264	2611	194
263	263	193
284	240	193
781	703	190
754	744	187
232	232	187
206	206	186
646	668	184
228	228	184
230	230	184
2610	1210	184
2025	2025	182
3413	3413	181
2301	2301	178
2217	2217	178
502	548	178
3214	3219	177
914	914	176
1211	1210	176
240	284	175
225	222	174
247	247	174
1210	2610	174
439	147	173
2136	2109	172
2002	2002	172
205	205	171
529	594	171
2109	2136	169
4076	4076	168
148	148	167
2013	2050	165
1209	1278	165
3002	3002	164
1512	1512	162
931	931	160
293	247	160
1452	1452	159
1655	1655	158
3789	3789	158
2645	2645	158
123	123	156
247	293	156
744	754	156
1762	1721	156
1911	1911	155
1320	1320	155
956	956	153
114	114	153
2611	1264	153
418	418	152
996	996	152
594	529	151
1160	1160	151
2109	2109	150
241	1961	150
1996	1996	149
182	182	149
1720	1720	149
1152	1167	149
1355	1355	149
860	860	148
147	439	148
207	202	148
10	10	148
2252	2255	148
420	420	147
230	232	147
1209	1226	147
262	262	147
815	815	147
2107	2107	146
1122	1122	146
259	259	145
567	514	145
151	151	145
2412	2342	143
3010	3010	143
1268	1268	143
2076	2076	142
283	283	142
202	202	141
1167	1152	141
288	288	140
247	3202	140
3514	568	140
2107	2102	139
3219	3214	139
952	949	139
1617	1617	138
1166	1166	137
646	646	136
1278	1209	136
634	634	136
703	781	136
257	257	135
2613	2613	135
2220	2220	135
2715	1190	135
202	207	134
183	183	133
3600	3600	133
259	222	132
1090	1090	132
755	755	132
2140	2140	132
1120	1120	131
502	3533	131
175	175	130
2910	1684	130
1686	1686	130
339	339	129
153	153	129
3205	3205	129
210	210	128
2230	2228	127
1222	1222	127
1985	1985	127
3410	3413	127
2102	2107	126
602	646	126
1152	2701	126
227	227	126
670	670	125
708	703	125
1158	1158	125
2342	2412	124
1220	1220	124
222	259	124
2902	1608	124
500	3579	124
498	3010	124
2247	2247	124
1906	1906	123
232	230	123
2913	2913	122
1363	1363	121
2213	2540	121
1925	1925	121
593	593	121
631	631	121
1824	1824	121
766	766	121
2050	2050	120
1321	1321	120
744	749	120
1650	1650	120
3202	247	120
2348	2355	120
1118	1118	119
781	781	119
1149	1112	119
563	567	118
793	793	118
913	931	118
2103	2177	118
659	1308	118
726	726	117
548	548	117
1808	1851	116
1008	1008	116
1149	2715	116
154	154	115
2722	1160	115
2173	2173	115
1190	2715	115
133	133	115
2255	2252	114
393	393	114
1608	2902	113
609	609	113
3106	3106	113
585	585	113
1019	1050	113
1451	1451	113
247	244	112
703	703	112
222	222	111
2107	2183	111
278	278	111
221	221	111
2048	2032	111
2264	2228	111
1987	1987	110
1669	1669	110
846	838	109
1616	1616	109
222	225	109
2919	2919	109
1608	1608	109
825	825	108
567	567	108
244	244	108
102	102	108
838	846	108
509	509	108
746	746	107
144	144	107
668	668	107
1044	1044	107
2183	2107	107
3566	3533	106
1738	1738	106
1050	1084	106
1663	1663	106
183	114	106
2733	2701	106
1611	2915	105
711	779	105
2611	2611	105
797	703	105
146	146	104
1907	1851	104
1160	2722	104
2623	2623	104
1308	1308	104
280	247	104
2915	1611	103
2176	2176	103
643	643	103
431	431	103
2228	2228	102
2103	2103	102
911	943	102
561	509	101
1119	1119	101
2915	1608	101
4652	996	101
131	131	101
1297	1210	101
202	211	101
106	106	100
703	708	100
1257	2629	100
3533	502	100
230	243	100
