source	target	weight
1	0	17
2	0	2
2	1	8
7	0	28
17	0	24
3	0	13
20	0	30
0	19	3
24	0	55
26	0	2
29	0	4
11	0	5
40	0	1
51	0	1
50	0	2
36	0	3
0	34	5
67	0	34
70	0	23
65	0	1
69	0	1
66	0	2
73	0	18
88	0	5
1	7	6
24	1	39
1	67	32
1	73	77
1	29	3
1	70	48
1	66	2
1	80	1
1	88	20
48	1	2
1	97	20
1	99	13
102	1	1
1	104	2
1	94	2
1	95	3
96	1	1
2	94	8
2	93	2
2	99	17
2	98	1
2	97	15
2	73	9
102	2	1
2	104	3
2	70	3
2	24	3
4	3	1
5	6	1
7	6	1
3	6	1
7	3	26
4	6	1
8	4	1
8	6	1
4	9	8
9	10	2
4	10	1
12	11	3
11	13	1
12	13	3
14	3	22
14	7	15
14	15	2
16	3	2
16	7	2
16	14	2
11	4	6
11	9	3
4	13	2
14	13	1
12	14	7
3	13	2
12	3	9
12	17	7
17	3	16
17	13	1
12	7	7
7	18	3
14	18	1
3	18	2
12	18	2
14	17	10
3	19	6
20	19	5
17	19	3
20	3	22
20	17	41
14	21	2
20	21	2
3	21	2
17	21	2
20	14	12
20	22	2
22	3	2
22	17	1
20	23	8
14	23	3
3	23	8
17	23	5
20	24	10
24	17	12
7	13	1
25	11	3
20	26	3
20	27	2
26	27	1
14	26	1
26	3	2
14	27	1
3	27	2
20	7	46
7	23	1
24	19	1
26	19	1
24	3	1
24	26	1
26	17	1
28	29	1
29	23	1
21	23	1
20	29	1
29	14	1
29	17	1
29	21	1
29	3	1
28	14	2
28	17	1
30	3	1
20	30	1
30	27	1
26	23	1
20	12	2
20	18	4
11	31	2
11	14	5
11	3	1
14	31	1
3	31	1
32	3	2
33	3	2
3	34	3
3	35	1
33	32	4
32	34	16
20	32	9
32	35	1
33	34	4
20	33	2
33	35	1
20	34	9
35	34	1
20	35	1
36	11	6
36	31	1
7	34	20
32	7	9
33	7	1
16	17	2
25	4	3
20	16	1
16	12	1
7	17	9
11	37	1
37	4	1
25	37	1
25	9	1
38	18	4
20	38	2
37	14	1
4	17	2
8	10	1
39	38	2
39	18	2
20	39	1
11	17	5
11	41	2
11	42	2
42	41	1
11	32	3
11	34	2
11	33	1
36	32	2
36	34	8
36	33	1
40	14	1
40	7	2
20	40	3
7	5	1
20	13	1
17	43	1
20	43	1
44	43	2
45	43	1
44	17	1
17	45	1
20	44	1
20	45	3
44	45	1
7	46	5
47	46	2
47	7	6
48	46	2
48	49	3
48	7	1
49	46	1
49	7	1
24	50	4
51	24	3
24	52	1
20	50	3
20	51	1
20	52	2
51	50	4
50	17	4
52	50	2
51	17	1
51	52	1
52	17	2
36	7	8
11	7	5
7	41	1
36	41	1
36	14	1
41	34	1
14	34	1
32	41	1
14	32	1
14	41	1
32	17	2
14	42	1
53	17	3
53	49	1
55	54	2
4	54	2
4	55	2
7	54	1
7	55	1
4	7	1
53	7	3
20	54	1
20	55	1
20	4	1
20	53	3
17	54	1
53	54	1
17	55	1
53	55	1
53	4	1
53	32	2
33	56	1
53	34	2
17	34	1
53	11	2
7	57	2
20	57	2
20	11	14
58	7	2
20	58	1
20	36	2
24	7	9
24	11	2
36	24	3
36	17	5
36	59	2
36	60	2
36	61	1
59	17	2
59	60	2
59	61	1
60	17	2
61	17	1
61	60	1
40	17	2
24	40	2
62	34	1
63	7	2
7	64	1
58	4	1
20	63	1
63	32	1
63	34	1
36	65	2
36	3	1
24	34	1
66	11	7
24	65	1
68	67	2
69	68	2
69	67	4
66	70	2
51	67	3
67	50	3
24	67	29
24	70	49
70	67	26
51	70	1
67	7	22
70	7	1
71	72	2
66	71	1
66	72	7
73	7	10
73	67	43
30	73	1
73	29	1
24	73	54
70	71	1
70	72	1
73	70	69
66	7	1
74	75	1
74	76	1
74	67	1
75	76	1
75	67	1
67	76	4
69	70	1
70	77	1
67	77	3
69	77	3
69	24	1
24	77	1
77	76	3
75	77	1
69	76	2
77	78	1
69	75	1
67	78	1
73	80	3
70	80	4
24	81	1
73	82	1
24	80	1
84	83	2
66	83	8
66	84	2
81	70	1
85	67	3
86	76	2
67	82	1
66	87	1
87	83	1
67	34	6
48	83	1
48	66	3
73	88	12
88	70	12
24	88	8
66	88	4
66	73	2
48	88	2
48	24	1
24	66	1
48	73	1
48	70	1
66	67	7
88	67	6
66	89	1
90	24	2
24	29	3
29	67	2
91	29	1
91	24	2
91	73	1
91	70	1
90	67	1
90	29	1
73	60	1
92	73	2
88	60	1
92	88	5
92	60	1
24	60	1
70	60	1
67	60	1
92	24	2
92	70	2
92	67	1
11	67	3
88	76	6
92	76	1
20	66	1
20	67	1
93	94	3
95	93	1
95	94	2
96	95	1
96	93	1
96	94	1
96	97	3
100	95	5
99	98	2
97	94	11
100	101	1
95	101	2
96	100	1
97	99	29
73	99	17
97	73	23
102	73	2
102	99	1
102	97	1
100	103	3
95	103	2
73	104	4
97	104	2
104	99	2
73	94	2
70	94	3
97	70	3
95	99	4
94	105	2
92	94	1
24	94	2
106	94	1
73	105	1
92	105	1
97	105	1
70	105	1
24	105	1
106	105	1
106	73	1
92	97	1
92	106	1
24	97	1
106	97	1
106	70	2
106	24	2
96	73	2
108	100	1
109	94	3
110	105	1
73	95	3
97	95	2
110	111	2
111	107	1
111	94	2
109	111	2
110	107	1
110	94	2
109	110	2
94	107	1
109	107	1
70	99	1
67	99	1
